,LEMMA,COMPOUND,CATEGORIZATION,MEANING,ETYMOLOGY,OCCURRENCE,CASE/GENDER/NUMBER,HEADEDNESS,CLASSIFICATION,NOTES,Unnamed: 10,Unnamed: 11,Unnamed: 12,HEADEDNESS COMMENTS,SKR CLASSIFICATION,SKR MAIN CLASSIFICATION,MAIN CLASSIFICATION,POS,STRUCTURE,Prefix,First Element,Linking Vowel,Second Element,Suffix
1354,τριγλώχις,"τριγλώχις, -ινος",A [Adv+N],‘three-barbed’,"numeralstem τρι- (τρεῖς, τρία)","Il. V, 393; XI, 507",dat. m. sg.,exocentric,determinative,,,,,,dvigu,dvigu,determinative,A,[Adv+N],,"numeralstem τρι- (τρεῖς, τρία) ",,,
1355,τριέτης,"τριέτης, -ες",A [Num+N],‘for three years’,"numeralstem τρι- (τρεῖς, τρία)","Od. II, 106; XIII, 377; XIX, 151; XXIV, 141","acc. n. sg., as Adverb",exocentric,determinative,,,,,,dvigu,dvigu,determinative,A,[Num+N],,"numeralstem τρι- (τρεῖς, τρία) ",,,
1356,τριηκόσιοι,"τριηκόσιοι, -A, -A",A [Num+Num+Suf],‘three hundred’,"τριη- (Ion. = τρια, τρεῖς, τρία) ‘three’ + κοσ- (&lt; -κατιοι with -ο- from τριάκοντα ‘thierty’ and Ion. -σ- _ι; cmp. ἑκατόν ‘one hundred’) + adj. suf. -ιοι, -ιαι, -ια","Il. XI, 697; Od. XIII, 390; XIV, 20; XXI, 19","dat. m. pl., acc. n. pl., nom. m. pl.",endocentric,coordinate,,,,,(double-headed),dvandva,dvandva,coordinate,A,[Num+Num+Suf],"τριη- (Ion. = τρια, τρεῖς, τρία) ‘three’",,,+κοσ- (&lt; -κατιοι with -ο- from τριάκοντα ‘thierty’ and Ion. -σ- _ι; cmp. ἑκατόν ‘one hundred’),"adj. suf. -ιοι, -ιαι, -ια"
1357,τρίπολος,"τρίπολος,-ον",A [Adv+V+Suf],"‘thrice turned up, thrice ploughed’","numeral stem τρι- (τρεῖς, τρία) ‘three’ + verbal root πολ- (πέλομαι) ‘moving around’ + adj. suf. -ος, -ον","Il. XVIII, 542; Od. V, 127","acc. f. (target gender) sg., dat. f. sg.",exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[Adv+V+Suf],,"numeral stem τρι- (τρεῖς, τρία) ‘three’ ",,verbal root πολ- (πέλομαι) ‘moving around’ ,"adj. suf. -ος, -ον"
1358,τρίπους,"τρίπους, -ποδος",Ν [Num+N],"‘tripod, i.e. three-legged cauldron’","numeralstem τρι- (τρεῖς, τρία) ‘three’ + πούς, ποδός ‘foot’","Il. VIII, 290; IX, 122, 264, 407; XI, 700; XVIII, 344, 348, 373; XIX, 243; XXII, 164, 443; XXIII, 40, 259, 264, 485, 513, 702, 718, 828, 889; XXIV, 233; Od. IV, 129; VIII, 434, 435, 437; X, 359, 361; XIII, 13, 217; XV, 84","nom. m. sg., gen. sg., dat. sg., acc. sg., nom. pl., gen. pl., acc. pl.",exocentric,determinative,accent shift,,,,,dvigu,dvigu,determinative,Ν,[Num+N],,"numeralstem τρι- (τρεῖς, τρία) ‘three’ ",,,"πούς, ποδός ‘foot’"
1359,τρίπτυχος,"τρίπτυχος, -ον",A [Num+V+Suf],"‘consisting of three layers, threefold’","numeral stem τρι- (τρεῖς, τρία) ‘three’ + verbal root πτυχ- (πτύσσω) ‘fold, double up‘ + adj. suf. –ος, -ον","Il. XI, 353",nom. f. (target gender) sg.,exocentric,determinative,,,,,,dvigu,dvigu,determinative,A,[Num+V+Suf],,"numeral stem τρι- (τρεῖς, τρία) ‘three’ ",,"verbal root πτυχ- (πτύσσω) ‘fold, double up‘ ","adj. suf. –ος, -ον"
1360,τρισκαίδεκα,"τρισκαίδεκα, alsoτρεισκαίδεκα",Num [Num+καί+Num],‘thirteen’,"numeral stem τρισ- (τρεῖς, τρία) ‘three’ + καί ‘and’ +δέκα ‘ten’","Il. V, 387; Od. XXIV, 340",indecl.,endocentric,syntagmatic compound,,,,,(double-headed),,,syntagmatic,Num,[Num+καί+Num],,"numeral stem τρισ- (τρεῖς, τρία) ‘three’ ",,+καί ‘and’,δέκα ‘ten’
1361,τρίστοιχος,"τρίστοιχος, -ον",[Num+N+Suf],‘in three rows’,"numeral stem τρι- (τρεῖς, τρία) ‘three’ + στοῖχος, -ου ‘row in an ascending series’ + adj. suf. -ος, -ον","Od. XII, 91;",nom. m. pl.,exocentric,determinative,,,,,,dvigu,dvigu,determinative,[Num+N+Suf],,,"numeral stem τρι- (τρεῖς, τρία) ‘three’ ",,"+στοῖχος, -ου ‘row in an ascending series’","adj. suf. -ος, -ον"
1362,Τριτογένεια,"Τριτογένεια, -A",N [A+V+Suf],"‘Trito-born’,a name of Athena","adj. stem τριτο- (τρίτο-ς, –η, –ον) ‘third’ + verbal rootγέν-(γίγνομαι) ‘come into being; to be born’ + f. nom. suf. -εια","Il. IV, 515; VIII, 39; XXII, 183; Od. III, 378",nom. f. sing,voc.,exocentric,attributive – karmadhāraya,,,,f. sing,,,exocentric,N,[A+V+Suf],,"adj. stem τριτο- (τρίτο-ς, –η, –ον) ‘third’ ",,verbal rootγέν-(γίγνομαι) ‘come into being; to be born’ ,f. nom. suf. -εια
1363,τριχάϊκες,"τριχάϊκες, -ων",N/A [Adv+N+Suf],"‘the threefold people’ Δωριέες, so called from their three tribes","τρίχα (τρίς) ‘in three parts or ways’ + noun root Ϝικ- (Ϝοῖκ-ος, Skt. viś-) ‘village’ + nom. suf. -ικ","Od. XIX, 177",nom. m. pl.,exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,,[Adv+N+Suf],τρίχα (τρίς) ‘in three parts or ways’,"noun root Ϝικ- (Ϝοῖκ-ος, Skt. viś-) ‘village’ ",,,nom. suf. -ικ
1364,τρυφάλεια,"τρυφάλεια, -A",N [Num+N+Suf],‘helmet’,"τρυ- (&lt; *(kw)t(w)r-, τέσσαρες, -A) ‘four’ + noun root -φαλ-ε(σ)- (cmp. φάλος, -ου) ‘horn of a helmet’+ adj./noun suf. -ια, -A","Il. III, 372, 376; V, 182; X, 76; XI, 352; XII, 22, 339; XIII, 530, 577","nom. f. pl., nom. sg., acc. sg., gen. pl.",exocentric,determinative,,,,,,dvigu,dvigu,determinative,N,[Num+N+Suf],"τρυ- (&lt; *(kw)t(w)r-, τέσσαρες, -A) ‘four’","noun root -φαλ-ε(σ)- (cmp. φάλος, -ου) ‘horn of a helmet’ ",,,"adj./noun suf. -ια, -A"
1365,τυμβοχόη,"τυμβοχόη, -ης",N [N+V+Suf],‘the throwing up a cairn’,"τύμβος ‘a sepulchral mound, cairn, barrow’ + verb root χο- (χέω) ‘throw up (earth, so as to form a mound)’ + noun suf. -η","Il. XXI, 323",gen. f. sg.,exocentric,subordinative (argument-V),,,,,,tatpuruṣa (V-governing),tatpuruṣa,subordinative,N,[N+V+Suf],"τύμβος ‘a sepulchral mound, cairn, barrow’","verb root χο- (χέω) ‘throw up (earth, so as to form a mound)’ ",,,noun suf. -η
1366,ὑδατοτρεφής,"ὑδατοτρεφής, -ές",A [N+V+Suf],"‘bred in water, growing by the water’","noun stem ὑδατο- (ὕδωρ, ὕδατος) ‘water’ + verbal root τρεφ- (τρέφω) ‘bring up, cherish’ + adj. suf. -ής, -ές","Od. XVII, 208",gen. m. pl.,exocentric,subordinate (argument-V),case form (prob. genitive) as first member,,,,,tatpuruṣa (V-governing),tatpuruṣa,subordinate,A,[N+V+Suf],,"noun stem ὑδατο- (ὕδωρ, ὕδατος) ‘water’ ",,"verbal root τρεφ- (τρέφω) ‘bring up, cherish’ ","adj. suf. -ής, -ές"
1367,ὑλακόμωρος,"ὑλακόμωρος, -ον",A [N+A],"‘always barking, howling’","noun root ὑλᾰκ- (ὑλᾰκή) ‘barking, howling’ +μωρός, (-ά), -όν (Att. μῶρος) ‘dull, sluggish’","Od. XIV, 29; XVI, 4",nom. m. pl.,exocentric,attributive,accent shift,linking element -o-,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[N+A],,"noun root ὑλᾰκ- (ὑλᾰκή) ‘barking, howling’ ",,,"μωρός, (-ά), -όν (Att. μῶρος) ‘dull, sluggish’"
1368,ὑλοτόμος,"ὑλοτόμος, -ον",A/N [N+V+Suf],"‘felling trees’, as a subst. ‘woodcutter’","noun root ὕλ- (ὕλη) ‘forest, woodland’ + verbal root τομ- (τέμνω) ‘cut’ + adj. suf. -ος, -ον","Il. XXIII, 114 (A), 123 (N)","nom. m. pl., acc. m. pl.",exocentric,subordinate (argument-V),linking vowel -o-,,,,,tatpuruṣa (V-governing),tatpuruṣa,subordinate,A/N,[N+V+Suf],,"noun root ὕλ- (ὕλη) ‘forest, woodland’ ",,verbal root τομ- (τέμνω) ‘cut’ ,"adj. suf. -ος, -ον"
1369,ὑπασπίδιος,"ὑπασπίδιος, -ον",A [P+N+Suf],‘corvered with a shield’,"ὑπ- (ὑπό) ‘under + noun root ἀσπιδ- (ἀσπίς, -ίδος) ‘shield’ + adj. suf. -ιος, -ιον","Il. XIII, 158, 807; XVI, 609",acc. n. pl. (Adv),exocentric,subordinate (P-argument),,,,,,tatpuruṣa (P-governing),tatpuruṣa,subordinate,A,[P+N+Suf],ὑπ- (ὑπό) ‘under,"noun root ἀσπιδ- (ἀσπίς, -ίδος) ‘shield’ ",,,"adj. suf. -ιος, -ιον"
1370,Ὑπειροχίδης,"Ὑπειροχίδης, -ου",N derived from Ὑπείροχος,‘Hypeirochus’ son’,,"Il. XI, 673.",acc. m. sg.,,,s. Ὑπείροχος.,,,,,,,,N,derived,,,,,
1371,ὑπείροχος,"ὑπείροχος, –ον",A [P+V+Suf],"‘prominent, eminent, distinguished above (others)’; also as proper name ‘Hypeirochus’","ὑπείρ (ep. forὑπέρ) ‘over, above’ + verbal root οχ- (ἔχω) ‘have, hold’ + adj. suf. -ος, –ον","Il. VI, 208; XI, 784;",acc. m. sg.,exocentric,determinative,att. ὑπέροχος,,,,,karmadhāraya,karmadhāraya,determinative,A,[P+V+Suf],"ὑπείρ (ep. forὑπέρ) ‘over, above’","verbal root οχ- (ἔχω) ‘have, hold’ ",,,"adj. suf. -ος, –ον"
1372,Ὑπείροχος,"Ὑπείροχος, -ου",N [P+V+Suf],‘Hypeirochus’,"ὑπείρ (ep. forὑπέρ) ‘over, above’+ verbal root οχ- (ἔχω) ‘have, hold’ + adj. suf. -ος, -ον","Il. XI, 335;",acc. m. sg.,exocentric,determinative,see also ὑπείροχος,,,,,karmadhāraya,karmadhāraya,determinative,N,[P+V+Suf],"ὑπείρ (ep. forὑπέρ) ‘over, above’","verbal root οχ- (ἔχω) ‘have, hold’ ",,,"adj. suf. -ος, -ον"
1373,ὑπεραής,"ὑπεραής, -ές",A [P+V+Suf],‘blowing hard’,"ὑπέρ ‘over-much, above measure‘ + verbal root ἄη- (ἄημι) ‘breathe hard, blow‘ + adj. suf. –ής, ές","Il. XI, 297",dat. f. sg.,exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[P+V+Suf],"ὑπέρ ‘over-much, above measure‘","verbal root ἄη- (ἄημι) ‘breathe hard, blow‘ ",,,"adj. suf. –ής, ές"
1374,ὑπερβασίη,"ὑπερβασίη, -ης",N [P+V+Suf],‘passover’,"ὑπέρ ‘over’ + verbal rootβα- (βαίνω) ‘walk, step’ + f. noun suf. -σία","Il. III, 107; XVI, 18; XXIII, 589; Od. III, 206; XIII, 193; XXII, 64, 167","gen. f. sg., dat. sg., acc. sg., nom. pl., acc. pl.",exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,N,[P+V+Suf],ὑπέρ ‘over’,"verbal rootβα- (βαίνω) ‘walk, step’ ",,,f. noun suf. -σία
1375,ὑπέρβιος,"ὑπέρβιος, -ον",A [P+N+Suf],‘of overwhelming strength’,"ὑπέρ ‘over’ + noun rootβι- (βία, -A) ‘strength’ + adj. suf. -ος, -ον","Il. XVII, 19; XVIII, 262; Od. I, 368; IV, 321; XII, 379; XIV, 92, 95; XV, 212; XVI, 315, 410","nom. m. sg., acc. f. (target gender) sg., acc. n. sg.",exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[P+N+Suf],ὑπέρ ‘over’,"noun rootβι- (βία, -A) ‘strength’ ",,,"adj. suf. -ος, -ον"
1376,ὑπερηνορέων,"ὑπερηνορέων, -οντος",A [P+N+Suf],‘exceedingly manly’,"ὑπέρ ‘over’ + ηνορ- (ἀνήρ, ἀνδρός) ‘man’ + adj. suf. –έων","Il. IV, 176; XIII, 258; Od. II, 266, 324, 331; IV, 766; VI, 5; XVII, 482, 581; XX, 375; XXI, 361; 401; XXIII, 31","nom. m. sg., gen. m. sg., gen. m. pl., acc. m. pl.",endocentric,determinative,vowellengthening-A- &gt,-η- in compounding,,,(right-headed),karmadhāraya,karmadhāraya,determinative,A,[P+N+Suf],ὑπέρ ‘over’,,,"+ηνορ- (ἀνήρ, ἀνδρός) ‘man’",adj. suf. –έων
1377,Ὑπερήνωρ,"Ὑπερήνωρ, -ορος",N [P+N+Suf],‘Hyperenor’,"ὑπέρ ‘over’ + noun root ηνορ- (ἀνήρ, ἀνδρός) ‘man’ + m. noun suf. -ωρ","Il. XIV, 516; XVII, 24","acc. m. sg., gen. sg.",endocentric,determinative,vowel lengthening -A- &gt,-η- in compounding,,,(right-headed),karmadhāraya,karmadhāraya,determinative,N,[P+N+Suf],ὑπέρ ‘over’,"noun root ηνορ- (ἀνήρ, ἀνδρός) ‘man’ ",,,m. noun suf. -ωρ
1378,ὑπέρθυμος,"ὑπέρθυμος, –ον",A [P+N+Suf],"‘high-spirited, high-minded, daring’","ὑπέρ ‘over, above’ + noun rootθυμ- (θυμός)‘soul, spirit’ + adj. suf. -ος, ον","Il. II, 746; IV, 365; V, 77, 376; VI 111; VIII, 120; IX, 233; XI, 564; XII, 128; XIV, 15, 250; XV, 135, 576; XVII, 276; XX, 88, 333, 366; XXIII, 302, 512; Od. III, 448; VII, 59; XI, 269; XIV, 209; XV, 252; XVI, 326, 360",,exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[P+N+Suf],"ὑπέρ ‘over, above’","noun rootθυμ- (θυμός)‘soul, spirit’ ",,,"adj. suf. -ος, ον"
1379,ὑπερθύριον,"ὑπερθύριον, -ου",N [P+N+Suf],‘lintel of a door’,‘gate’,"ὑπέρ ‘over’ + noun rootθύρ- (θύρα) ‘door, gate’ + n. noun suf. -ιον","Od. VII, 90",nom.,endocentric (right-headed),determinative – karmadhāraya,,,,n. sg.,,,endocentric,N,[P+N+Suf],‘gate’,,,,
1380,Ὑπεριονίδης,"Ὑπεριονίδης, -ου (also gen. epic. doric -A)",N derived from Ὑπερίων,‘Hyperion’s son’,,"Od. XII, 176",gen. m. sg.,,,s. Ὑπερίων,,,,,,,,N,derived,,,,,
1381,Ὑπερίων,"Ὑπερίων, -ονος
CATEGORIZATION",,,,,,,,,,,,,,,,,,,,,,
1382,ὑπερμενής,"ὑπερμενής, -ές",A [Adv+N+Suf],‘exceedingly mighty‘,"ὑπέρ ‘over’ + noun stemμενες- (μένος, –εος)‘might, force‘ + suf. adj. -ής, -ές","Il. II, 116, 350, 403; VII, 315, 481; VIII, 236, 470; IX, 23; XI, 727; XIII, 226; XIV, 69; Od. XIII, 205; XX, 222;","dat. m. sg., acc. m. sg., gen. m. pl.",exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[Adv+N+Suf],ὑπέρ ‘over’,"noun stemμενες- (μένος, –εος)‘might, force‘ ",,,"suf. adj. -ής, -ές"
1383,ὑπεροπλία,"ὑπεροπλία, -A",N deriv. fromὑπέροπλος,"‘insolence, presumptuousness’",,"Il. I, 205",dat. f. pl.,,,see ὑπέροπλος,,,,,,,,N,deriv.,,,,,
1384,ὑπέροπλος,"ὑπέροπλος, -ον",A [P+N+Suf],"‘insolent, presumptuous’","ὑπέρ ‘over’ + noun root/stemοπλ(ο)- (ὅπλον) ‘arm’ + adj. suf. -ος, -ον","Il, XV, 185; XVII",acc. n. sg.,exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[P+N+Suf],ὑπέρ ‘over’,noun root/stemοπλ(ο)- (ὅπλον) ‘arm’ ,,,"adj. suf. -ος, -ον"
1385,ὑπερφίαλος,"ὑπερφίαλος, –ον",A [P+V+Suf],"‘overbearing, overweening, arrogant’","ὑπέρ ‘over’ + verbal rootφι- &lt;φυ- (for dissimilation) (cf.ὑπερφυής, ές?) (φύω)‘grow;become’+ adj. suf. -A, –ον","Il. III, 106; V, 881; XIII, 621; XV, 94; XVIII, 300 (Adv); XXI, 459; XXIII, 611; Od. I, 134; II, 310; III, 315; IV, 503, 774, 790; IX, 106; XI, 116; XIII, 373; XIV, 27; XV, 12, 315, 376; XVI, 271; XVIII, 71 (Adv), 167; XX, 12, 291; XXIII, 356.","nom. m. sg., acc. m. sg., acc. n. sg., nom. m. pl., gen. m. pl., dat. m. pl., acc. m. pl., voc. m. pl.",exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[P+V+Suf],ὑπέρ ‘over’,"verbal rootφι- &lt;φυ- (for dissimilation) (cf.ὑπερφυής, ές?) (φύω)‘grow;become’ ",,,"adj. suf. -A, –ον"
1386,ὑπόκυκλος,"ὑπόκυκλος, -ον",A [P+N+Suf],‘running on wheels’,"ὑπό ‘under’ + noun root/stem κύκλ(ο)- (κύκλος) ‘wheel’ +adj. suf. -ος, -ον","Il. IV,131",acc. m. sg.,exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[P+N+Suf],ὑπό ‘under’,noun root/stem κύκλ(ο)- (κύκλος) ‘wheel’ ,,,"adj. suf. -ος, -ον"
1387,ὑπονήϊος,"ὑπονήϊος, -ον",A [P+N+Suf],"‘under the promontory Νήϊον, lying at its base’","ὑπό ‘under’ + noun root/stem νήϊ(ο)- (Νήϊον) ‘Neion’ + adj. suf. -ος, -ον","Od. III, 81",gen. f. (target gender) sg.,exocentric,subordinate (P-argument),,,,,,tatpuruṣa (P-governing),tatpuruṣa,subordinate,A,[P+N+Suf],ὑπό ‘under’,noun root/stem νήϊ(ο)- (Νήϊον) ‘Neion’ ,,,"adj. suf. -ος, -ον"
1388,Ὑποπλάκιος,"Ὑποπλάκιος,–η,-ον",A [P+N+suf],‘Lying under Mount Placus’,ὑπό ‘under’ + noun root/stem,Il. VI 397,dat. f. sg.,exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[P+N+suf],ὑπό ‘under’,noun root/stem ,,,
1389,ὑπόρρηνος,"ὑπόρρηνος, -ον",A [P+N+Suf],‘with a lamb under’,"ὑπό ‘under’ + noun stem ῥήν (ἀρήν) ‘sheep, lamb’ + adj. suf. -ος, -ον","Il. X, 216",acc. f. (target gender) sg.,exocentric,attributive,-ρ- reduplication in the second element,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[P+N+Suf],ὑπό ‘under’,"noun stem ῥήν (ἀρήν) ‘sheep, lamb’ ",,,"adj. suf. -ος, -ον"
1390,ὑπότροπος,"ὑπότροπος, -ον",A [P+V+Suf],"‘turning back, returning’","ὑπό ‘under’, ‘from under’ + verbal root τροπ- (τρέπω) ‘turn’ + adj. suf. -ος, -ον","Il. VI, 367, 501; Od. XX, 332; XXI, 211; XXII, 35;","nom. m. sg., acc. m. sg.",exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[P+V+Suf],"ὑπό ‘under’, ‘from under’",verbal root τροπ- (τρέπω) ‘turn’ ,,,"adj. suf. -ος, -ον"
1391,ὑπουράνιος,"ὑπουράνιος, –ον",A [P+N+Suf],"‘under heaven, under the sky’","ὑπό ‘under’ + noun rootοὐραν- (οὐρανός) ‘heaven’ + adj. suf. -ιος, -ιον","Il. X, 212; XVII, 675; Od. IX, 264","nom. n. sg., acc. n. sg., gen. m. pl.",exocentric,subordinate (P-argument),,,,,,tatpuruṣa (P-governing),tatpuruṣa,subordinate,A,[P+N+Suf],ὑπό ‘under’,noun rootοὐραν- (οὐρανός) ‘heaven’ ,,,"adj. suf. -ιος, -ιον"
1392,ὑποφήτης,"ὑποφήτης, -ου",N [P+V+Suf],"‘suggester, interpreter, expounder’","ὑπό ‘(from) under, beneath’ + verbal root φή- (φημί) ‘say, affirm, assert’ + m. noun suf. -της, -του","Il. XVI, 235",nom. m. pl.,exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,N,[P+V+Suf],"ὑπό ‘(from) under, beneath’","verbal root φή- (φημί) ‘say, affirm, assert’ ",,,"m. noun suf. -της, -του"
1393,ὑποχείριος,"ὑποχείριος, -ον",A [P+N+Suf],"‘under the hand, in hand’","ὑπό ‘under’ +χείρ ‘hand’ + adj. suf. -ιος, -ιον","Od. XV, 448",nom. m. sg.,exocentric,subordinate (P-argument),,,,,,tatpuruṣa (P-governing),tatpuruṣa,subordinate,A,[P+N+Suf],ὑπό ‘under’,,,+χείρ ‘hand’,"adj. suf. -ιος, -ιον"
1394,ὑπόψιος,"ὑπόψιος, -ον",A [P+V+Suf],‘viewed from beneath,viewed with suspicious looks‘,"ὑπό ‘under’ + verbal root ὀπ-‘see’ (ὄπωπα,ὄψομαι)+ adj. suf. -ος, -ον","Il. III, 42",acc.,exocentric,determinative – karmadhāraya,,,,n. sg.,,,exocentric,A,[P+V+Suf],viewed with suspicious looks‘,,,,
1395,ὑπώπιον,"ὑπώπιον, -ου",N [P+N+Suf],‘the part of the face under the eyes’,"υπ- (ὑπό) ‘under’+ noun root ωπ- (ὤψ,ὠπός) ‘eye, face’ + n. noun suf. -ιον, -ου","Il. XII, 463",acc. n. pl.,exocentric,subordinate (P-argument),,,,,,tatpuruṣa (P-governing),tatpuruṣa,subordinate,N,[P+N+Suf],υπ- (ὑπό) ‘under’,"noun root ωπ- (ὤψ,ὠπός) ‘eye, face’ ",,,"n. noun suf. -ιον, -ου"
1396,ὑπωρόφιος,"ὑπωρόφιος, –ον",A [P+N+Suf],‘under the roof’,"ὑπό ‘under’ + noun rootὄροφ- (ὄροφος) ‘roof’ + adj. suf. -ιος, -ιον","Il. IX, 640",nom. m. pl.,exocentric,subordinate (P-argument),,,,,,tatpuruṣa (P-governing),tatpuruṣa,subordinate,A,[P+N+Suf],ὑπό ‘under’,noun rootὄροφ- (ὄροφος) ‘roof’ ,,,"adj. suf. -ιος, -ιον"
1397,ὑφορβός,"ὑφορβός, -οῦ",N [N+V+Suf],‘swineherd’,"noun stem ὑ- (ὗς =σῦς) ‘swine’ + verbal root φορβ- (φέρβω) ‘feed, nourish’ + noun suf. -ος, -ου","Od. XIV, 3, 48, 401, 413; XV, 301; XVI, 1, 20, 56, 154, 156, 333, 452, 477; XVII, 183, 260, 507, 589; XXI, 80, 359; XXII, 129, 162","nom. m. sg., acc. sg., nom. pl.",exocentric,subordinative (argument-V),s. also συφορβός,,,,,tatpuruṣa (V-governing),tatpuruṣa,subordinative,N,[N+V+Suf],,noun stem ὑ- (ὗς =σῦς) ‘swine’ ,,"verbal root φορβ- (φέρβω) ‘feed, nourish’ ","noun suf. -ος, -ου"
1398,ὑψαγόρης,"ὑψαγόρης, -ου",N [Adv+V+Suf],"‘boaster, braggart’","ὑψ- (ὑψί) ‘on high, aloft’ + verbal root ἀγορ- (ἀγορεύω) ‘speak in the assembly’ + m. noun suf. -ης, -ου","Od. I, 385; II, 85, 303; XVII, 406","acc. m. sg., voc. sg.",exocentric,determinative,the second member is not a free word in Greek,,,,,karmadhāraya,karmadhāraya,determinative,N,[Adv+V+Suf],"ὑψ- (ὑψί) ‘on high, aloft’",verbal root ἀγορ- (ἀγορεύω) ‘speak in the assembly’ ,,,"m. noun suf. -ης, -ου"
1399,ὑψερεφής,"ὑψερεφής, -ές",A [Adv+V+Suf],"‘high-roofed, high-vaulted’","ὕψ(ι) ‘on high’ +verbal rootερεφ- (ἐρέφω) ‘cover with a roof’ + adj. suf. -ής, -ές","Il. V, 213; IX, 582; XIX, 333; Od. IV, 15, 46, 757;VII, 85, 225; X, 111; XIII, 5; XV, 241, 424, 432; XIX, 526","gen. m. sg., acc. n. sg.,acc. n. pl.",exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[Adv+V+Suf],ὕψ(ι) ‘on high’,verbal rootερεφ- (ἐρέφω) ‘cover with a roof’ ,,,"adj. suf. -ής, -ές"
1400,Ὑψήνωρ,"Ὑψήνωρ, -ορος",N [Adv+N],"‘Ipsenor’, ‘raising or exalting men’",ὔψ(ι) ‘on hight’ +ήνωρ- (ἀνήρ) ‘man’,,acc. m. sg.,exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,N,[Adv+N],ὔψ(ι) ‘on hight’,,,,ήνωρ- (ἀνήρ) ‘man’
1401,ὑψηχής,"ὑψηχής, -ές",A [Adv+N+Suf],‘making a loud or ringing sound’,"ὔψ(ι) ‘on hight’ + noun root ἦχ- (ἦχος) ‘sound’ + adj.suf. -ής,ές","Il. V, 772; XXIII, 27","nom. m. pl., acc. m. pl.",exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[Adv+N+Suf],ὔψ(ι) ‘on hight’,noun root ἦχ- (ἦχος) ‘sound’ ,,,"adj.suf. -ής,ές"
1402,ὑψιβρεμέτης,"ὑψιβρεμέτης, -ου",A [Adv+V+Suf],‘hight-thundering’,"ὔψι ‘on hight’ + verbal root βρέμ- (βρέμω) ‘to thunder’ + adj. suf. -της,,-ου",,nom. m. sg.,exocentric,determinative,,,,,,karmadhāraya,karmadhāraya,determinative,A,[Adv+V+Suf],ὔψι ‘on hight’,verbal root βρέμ- (βρέμω) ‘to thunder’ ,,,"adj. suf. -της,,-ου"
1403,ὑψίζυγος,"ὑψίζυγος, -ον",A [Adv+N+Suf],‘sitting high on the benches’,"ὔψι ‘on hight’ + noun root/stem ζυγ(ο)- (ζυγόν) ‘beam of the balance’ + adj. suf. -ος, -ον","Il. IV, 166; VII, 69; XI, 544; XVIII, 185",nom. m. sg.,exocentric,attributive,accent shift,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[Adv+N+Suf],ὔψι ‘on hight’,noun root/stem ζυγ(ο)- (ζυγόν) ‘beam of the balance’ ,,,"adj. suf. -ος, -ον"
1404,ὑψικάρηνος,"ὑψικάρηνος, -ov",A [Adv+N+Suf],‘high-topped’,"ὔψι ‘on hight’ + noun root/stem κάρην(ο)- (κάρηνον) ‘head, peaks’ + adj. suf. -ος, -ον","Il. XII, 132",nom. f. pl.,exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[Adv+N+Suf],ὔψι ‘on hight’,"noun root/stem κάρην(ο)- (κάρηνον) ‘head, peaks’ ",,,"adj. suf. -ος, -ον"
1405,ὑψικέρως,"ὑψικέρως, -ων",A [Adv+N+Suf],‘high-horned‘,"ὔψι ‘on hight’ + noun stem κέρα- (κέρας) ‘horn’ +adj. suf. -ος, -ον","Od. X, 158",acc. m. sg.,exocentric,attributive,,,,,,bahuvrῑhi,bahuvrῑhi,attributive,A,[Adv+N+Suf],ὔψι ‘on hight’,noun stem κέρα- (κέρας) ‘horn’ ,,,"adj. suf. -ος, -ον"
